Código Ámbito,Ámbito,Código área (FAO),Área,Código Elemento,Elemento,Código Producto (FAO),Producto,Código año,Año,Unidad,Valor
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1111","Carne, mula","2003","2003","toneladas","683"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1111","Carne, mula","2004","2004","toneladas","692"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1111","Carne, mula","2005","2005","toneladas","707"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1111","Carne, mula","2006","2006","toneladas","709"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1111","Carne, mula","2007","2007","toneladas","696"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1111","Carne, mula","2008","2008","toneladas","695"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1111","Carne, mula","2009","2009","toneladas","690"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1111","Carne, mula","2010","2010","toneladas","700"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1111","Carne, mula","2011","2011","toneladas","700"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1111","Carne, mula","2012","2012","toneladas","700"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1111","Carne, mula","2013","2013","toneladas","700"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1111","Carne, mula","2014","2014","toneladas","702"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1111","Carne, mula","2015","2015","toneladas","707"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1111","Carne, mula","2016","2016","toneladas","701"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1111","Carne, mula","2017","2017","toneladas","702"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1111","Carne, mula","2018","2018","toneladas",""
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","977","Carne, ovino","2000","2000","toneladas","232331"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","977","Carne, ovino","2001","2001","toneladas","235807"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","977","Carne, ovino","2002","2002","toneladas","237071"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","977","Carne, ovino","2003","2003","toneladas","236155"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","977","Carne, ovino","2004","2004","toneladas","231463"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","977","Carne, ovino","2005","2005","toneladas","224126"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","977","Carne, ovino","2006","2006","toneladas","214179"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","977","Carne, ovino","2007","2007","toneladas","203290"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","977","Carne, ovino","2008","2008","toneladas","156985"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","977","Carne, ovino","2009","2009","toneladas","124424"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","977","Carne, ovino","2010","2010","toneladas","131236"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","977","Carne, ovino","2011","2011","toneladas","130587"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","977","Carne, ovino","2012","2012","toneladas","122003"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","977","Carne, ovino","2013","2013","toneladas","118261"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","977","Carne, ovino","2014","2014","toneladas","114220"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","977","Carne, ovino","2015","2015","toneladas","115864"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","977","Carne, ovino","2016","2016","toneladas","117054"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","977","Carne, ovino","2017","2017","toneladas","115114"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","977","Carne, ovino","2018","2018","toneladas","119640"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","977","Carne, ovino","2019","2019","toneladas","121340"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","977","Carne, ovino","2020","2020","toneladas","115120"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1069","Carne, pato","2018","2018","toneladas","5470"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1069","Carne, pato","2019","2019","toneladas","5600"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1069","Carne, pato","2020","2020","toneladas","4650"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1080","Carne, pavo","2000","2000","toneladas","25000"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1080","Carne, pavo","2001","2001","toneladas","28448"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1080","Carne, pavo","2002","2002","toneladas","19274"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1080","Carne, pavo","2003","2003","toneladas","23387"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1080","Carne, pavo","2004","2004","toneladas","20585"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1080","Carne, pavo","2005","2005","toneladas","20154"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1080","Carne, pavo","2006","2006","toneladas","21304"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1080","Carne, pavo","2007","2007","toneladas","24320"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1080","Carne, pavo","2008","2008","toneladas","25457"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1080","Carne, pavo","2009","2009","toneladas","26000"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1080","Carne, pavo","2010","2010","toneladas","129375"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1080","Carne, pavo","2011","2011","toneladas","149317"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1080","Carne, pavo","2012","2012","toneladas","173666"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1080","Carne, pavo","2013","2013","toneladas","156884"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1080","Carne, pavo","2014","2014","toneladas","158549"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1080","Carne, pavo","2015","2015","toneladas","170660"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1080","Carne, pavo","2016","2016","toneladas","191721"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1080","Carne, pavo","2017","2017","toneladas","197887"
