Código Ámbito;Ámbito;Código área (FAO);Área;Código Elemento;Elemento;Código Producto (FAO);Producto;Código año;Año;Unidad;Valor;Grupo productos
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;237;Aceite, soja;2009;2009;toneladas;509700.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;237;Aceite, soja;2010;2010;toneladas;563300.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;237;Aceite, soja;2011;2011;toneladas;562300.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;237;Aceite, soja;2012;2012;toneladas;582800.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;237;Aceite, soja;2013;2013;toneladas;592000.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;237;Aceite, soja;2014;2014;toneladas;586600.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;237;Aceite, soja;2015;2015;toneladas;604000.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;237;Aceite, soja;2016;2016;toneladas;565900.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;237;Aceite, soja;2017;2017;toneladas;555500.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;237;Aceite, soja;2018;2018;toneladas;573100.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;260;Aceitunas, olivas;2000;2000;toneladas;4943800.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;260;Aceitunas, olivas;2001;2001;toneladas;6762600.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;260;Aceitunas, olivas;2002;2002;toneladas;4414911.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;260;Aceitunas, olivas;2003;2003;toneladas;7553566.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;260;Aceitunas, olivas;2004;2004;toneladas;5200029.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;260;Aceitunas, olivas;2005;2005;toneladas;4021720.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;260;Aceitunas, olivas;2006;2006;toneladas;5679021.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;260;Aceitunas, olivas;2007;2007;toneladas;6140251.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;260;Aceitunas, olivas;2008;2008;toneladas;5570727.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;260;Aceitunas, olivas;2009;2009;toneladas;6972094.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;260;Aceitunas, olivas;2010;2010;toneladas;7197600.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;260;Aceitunas, olivas;2011;2011;toneladas;7820060.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;260;Aceitunas, olivas;2012;2012;toneladas;3849300.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;260;Aceitunas, olivas;2013;2013;toneladas;9276100.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;260;Aceitunas, olivas;2014;2014;toneladas;4560400.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;260;Aceitunas, olivas;2015;2015;toneladas;5947700.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;260;Aceitunas, olivas;2016;2016;toneladas;7082550.0;Cultivos y derivados
